,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,babip,difstrikeOutsbaseOnBalls,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,difstrikeOutsbaseOnBallsperplateAppearance,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,obp_mean,obp_std,normalized_obp,obp_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score,difstrikeOutsbaseOnBalls_mean,difstrikeOutsbaseOnBalls_std,normalized_difstrikeOutsbaseOnBalls,difstrikeOutsbaseOnBalls_z_score
669701,H. Smith,5,47,79,23,5,0,2,50,28,0,42,7,213,3,4,1,253.0,53,69.0,2,3,0,0.197,0.307,0.249,0.556,16.0,0.59,0.24390243902439024,22,0.1976284584980237,0.007905138339920948,0.16600790513833993,0.06324110671936758,0.11067193675889328,0.20948616600790515,0.08695652173913043,0.2410858895705522,0.03594292436645106,81.71361681553299,-1.2265526622453047,0.28799214737611517,0.04327244430002328,84.69065606356823,-1.018886477640026,0.30771165644171783,0.0387961949143451,99.76872619973282,-0.018343459797772466,0.6995521472392637,0.1039573840377786,79.47942154051235,-1.3808749476333124,91.23312883435582,46.50920134001194,46.035908815816015,-1.0585674966643748,46.668711656441715,26.623820953369663,34.28421191008282,-1.1519275054529732,33.147239263803684,19.86784520765868,84.47158985748658,-0.25907385577070635,149.29447852760737,80.33355866845125,35.50030819806862,-1.198683092392673,53.6319018404908,32.086102729000665,41.02036147334706,-0.9858443110917505
673962,Josh Jung,1,23,16,9,4,1,5,39,4,0,20,0,98,0,2,2,102.0,41,38.0,0,0,0,0.204,0.235,0.418,0.653,14.0,1.44,0.2777777777777778,35,0.38235294117647056,0.049019607843137254,0.19607843137254902,0.13725490196078433,0.0392156862745098,0.4019607843137255,0.3431372549019608,0.2410858895705522,0.03594292436645106,84.61714634704937,-1.0317994493839233,0.28799214737611517,0.04327244430002328,96.45324718350827,-0.23604789984863153,0.30771165644171783,0.0387961949143451,76.37019757960005,-1.8741955648550555,0.6995521472392637,0.1039573840377786,93.34543573013411,-0.4478002949972889,91.23312883435582,46.50920134001194,21.92186134086477,-1.5315921749246175,46.668711656441715,26.623820953369663,29.99868542132247,-1.227048202948006,33.147239263803684,19.86784520765868,12.067369979640938,-1.467055886491806,149.29447852760737,80.33355866845125,27.462502568317237,-1.3480602667504755,53.6319018404908,32.086102729000665,65.25966598032487,-0.5806844788180074
594777,Kole Calhoun,20,82,97,36,14,1,12,136,27,0,76,6,388,2,3,6,424.0,128,159.0,0,3,0,0.196,0.257,0.33,0.587,49.0,0.85,0.26337448559670784,109,0.32075471698113206,0.02830188679245283,0.1792452830188679,0.11556603773584906,0.06367924528301887,0.3018867924528302,0.25707547169811323,0.2410858895705522,0.03594292436645106,81.29882688245921,-1.2543745497969307,0.28799214737611517,0.04327244430002328,91.45196769991895,-0.5688992655169721,0.30771165644171783,0.0387961949143451,83.5197479913073,-1.3071296438653297,0.6995521472392637,0.1039573840377786,83.91082813719558,-1.082675831842419,91.23312883435582,46.50920134001194,83.30307309528612,-0.32752935753490864,46.668711656441715,26.623820953369663,104.99539897462864,0.08756400321506909,33.147239263803684,19.86784520765868,81.45474736257634,-0.3094064403840855,149.29447852760737,80.33355866845125,85.7365933840148,-0.2650757526564073,53.6319018404908,32.086102729000665,203.23724548158316,1.7256099510479148
665750,Leody Taveras,2,67,81,39,14,2,5,88,21,0,82,2,314,5,11,2,341.0,115,135.0,1,3,0,0.261,0.309,0.366,0.675,34.0,0.83,0.34375,67,0.25806451612903225,0.01466275659824047,0.2404692082111437,0.09970674486803519,0.06158357771260997,0.33724340175953077,0.19648093841642228,0.2410858895705522,0.03594292436645106,108.26017253225434,0.5540481410587601,0.28799214737611517,0.04327244430002328,119.36089338959148,1.2885302304001078,0.30771165644171783,0.0387961949143451,100.41868532806986,0.03320798756492988,0.6995521472392637,0.1039573840377786,96.49030492778027,-0.23617511604891214,91.23312883435582,46.50920134001194,89.87963149754556,-0.198522627100297,46.668711656441715,26.623820953369663,72.853950308926,-0.4758412279976774,33.147239263803684,19.86784520765868,63.35369239311493,-0.6114019480643604,149.29447852760737,80.33355866845125,77.02897061845078,-0.42690102487736004,53.6319018404908,32.086102729000665,124.92564630519331,0.41663203139428323
543760,Marcus Semien,17,137,247,101,31,5,26,120,53,0,163,4,657,8,25,7,724.0,282,218.0,0,10,0,0.248,0.304,0.429,0.733,83.0,0.55,0.2629558541266795,67,0.16574585635359115,0.03591160220994475,0.22513812154696133,0.11464088397790055,0.07320441988950276,0.38950276243093923,0.0925414364640884,0.2410858895705522,0.03594292436645106,102.86790340229533,0.19236360288762167,0.28799214737611517,0.04327244430002328,91.30660558715216,-0.578573585440428,0.30771165644171783,0.0387961949143451,98.7937875072273,-0.09567063084182599,0.6995521472392637,0.1039573840377786,104.78132372157472,0.3217458102695345,91.23312883435582,46.50920134001194,178.6631699280479,1.5430682337669603,46.668711656441715,26.623820953369663,177.84934928355463,1.3646158606306278,33.147239263803684,19.86784520765868,159.89265223024245,0.9992407595637726,149.29447852760737,80.33355866845125,188.88843229915759,1.651931318268725,53.6319018404908,32.086102729000665,124.92564630519331,0.41663203139428323
663993,Nathaniel Lowe,157,151,116,74,26,3,27,147,48,2,179,4,593,2,2,10,645.0,292,219.0,0,0,0,0.302,0.358,0.492,0.85,76.0,1.30,0.3627684964200477,99,0.22790697674418606,0.04186046511627907,0.2775193798449612,0.11782945736434108,0.07441860465116279,0.45271317829457364,0.15348837209302327,0.2410858895705522,0.03594292436645106,125.26655978827898,1.6947455306754262,0.28799214737611517,0.04327244430002328,125.96471804013298,1.7280361729853175,0.30771165644171783,0.0387961949143451,116.34268397232688,1.2962184479511358,0.6995521472392637,0.1039573840377786,121.50630990905664,1.4472069892222643,91.23312883435582,46.50920134001194,196.2006590007397,1.8870861815925914,46.668711656441715,26.623820953369663,162.8500065728934,1.1016934193980128,33.147239263803684,19.86784520765868,144.80843975569127,0.7475778364968768,149.29447852760737,80.33355866845125,195.58660365728372,1.7764122969002272,53.6319018404908,32.086102729000665,184.59162663006177,1.413948541606574
669087,Sam Huff,44,26,24,9,4,0,4,42,11,1,29,0,121,0,1,1,132.0,45,38.0,0,0,0,0.24,0.303,0.372,0.675,10.0,1.08,0.3333333333333333,31,0.3181818181818182,0.030303030303030304,0.2196969696969697,0.07575757575757576,0.08333333333333333,0.3409090909090909,0.23484848484848486,0.2410858895705522,0.03594292436645106,99.54958393770514,-0.03021149752538664,0.28799214737611517,0.04327244430002328,115.74389662020992,1.0478073677292539,0.30771165644171783,0.0387961949143451,98.46880794305878,-0.12144635452317716,0.6995521472392637,0.1039573840377786,96.49030492778027,-0.23617511604891214,91.23312883435582,46.50920134001194,31.786698944253917,-1.3380820792727,46.668711656441715,26.623820953369663,21.427632443801762,-1.377289597938072,33.147239263803684,19.86784520765868,33.18526744401258,-1.114727794198152,149.29447852760737,80.33355866845125,30.1417711115677,-1.2982678752978747,53.6319018404908,32.086102729000665,57.801418439716315,-0.7053490425945438
665506,Cristian Pache,90,86,48,18,5,2,3,70,15,0,40,1,241,2,2,5,260.0,58,104.0,3,0,0,0.166,0.218,0.241,0.459,18.0,1.79,0.22023809523809523,55,0.2692307692307692,0.011538461538461539,0.15384615384615385,0.06923076923076923,0.057692307692307696,0.2230769230769231,0.21153846153846154,0.2410858895705522,0.03594292436645106,68.85512889024606,-2.0890311763457112,0.28799214737611517,0.04327244430002328,76.47364598121013,-1.5657551412685853,0.30771165644171783,0.0387961949143451,70.84554498873537,-2.3123828674380245,0.6995521472392637,0.1039573840377786,65.61340735089058,-2.3139496002693365,91.23312883435582,46.50920134001194,43.84372268172954,-1.1015697401425786,46.668711656441715,26.623820953369663,38.56973839884317,-1.0768068079579405,33.147239263803684,19.86784520765868,45.252637423653525,-0.9133974557446354,149.29447852760737,80.33355866845125,38.849393877131696,-1.136442603076922,53.6319018404908,32.086102729000665,102.55090368336765,0.04263834006467423
660650,Dermis Garcia,2,19,18,13,6,0,5,55,8,0,24,1,116,0,0,1,125.0,45,48.0,0,0,0,0.207,0.264,0.388,0.652,20.0,1.06,0.3392857142857143,47,0.44,0.04,0.192,0.16,0.064,0.36,0.376,0.2410858895705522,0.03594292436645106,85.86151614627069,-0.9483337867290451,0.28799214737611517,0.04327244430002328,117.8107519169994,1.1853632892554566,0.30771165644171783,0.0387961949143451,85.79460494048686,-1.1266995780958715,0.6995521472392637,0.1039573840377786,93.2024871302411,-0.4574196213131242,91.23312883435582,46.50920134001194,26.306233609037726,-1.4455876879682097,46.668711656441715,26.623820953369663,42.855264887603525,-1.0016861104629076,33.147239263803684,19.86784520765868,24.134739959281877,-1.2657255480382894,149.29447852760737,80.33355866845125,30.1417711115677,-1.2982678752978747,53.6319018404908,32.086102729000665,87.63440860215054,-0.20669078748839845
681146,Jonah Bride,2,45,54,17,4,0,1,32,19,0,33,4,162,0,1,4,187.0,40,71.0,1,1,0,0.204,0.301,0.247,0.548,6.0,0.83,0.24615384615384617,13,0.1711229946524064,0.0053475935828877,0.17647058823529413,0.03208556149732621,0.10160427807486631,0.21390374331550802,0.06951871657754011,0.2410858895705522,0.03594292436645106,84.61714634704937,-1.0317994493839233,0.28799214737611517,0.04327244430002328,85.47241596569349,-0.9668578213929666,0.30771165644171783,0.0387961949143451,97.81884881472176,-0.17299780188587952,0.6995521472392637,0.1039573840377786,78.33583274136828,-1.457829558159995,91.23312883435582,46.50920134001194,36.171071212426874,-1.2520775923162923,46.668711656441715,26.623820953369663,12.856579466281056,-1.5275309929281375,33.147239263803684,19.86784520765868,57.32000740329446,-0.7120671172911187,149.29447852760737,80.33355866845125,26.79268543250462,-1.3605083646136258,53.6319018404908,32.086102729000665,24.239304506977806,-1.2663395795889574
669397,Nick Allen,60,101,79,31,13,0,4,64,19,0,62,1,299,2,3,5,326.0,87,114.0,6,1,0,0.207,0.256,0.291,0.547,19.0,1.28,0.25,45,0.19631901840490798,0.012269938650306749,0.1901840490797546,0.05828220858895705,0.05828220858895705,0.2668711656441718,0.13803680981595093,0.2410858895705522,0.03594292436645106,85.86151614627069,-0.9483337867290451,0.28799214737611517,0.04327244430002328,86.80792246515743,-0.8779755336375749,0.30771165644171783,0.0387961949143451,83.19476842713878,-1.3329053675466809,0.6995521472392637,0.1039573840377786,78.19288414147529,-1.4674488844758302,91.23312883435582,46.50920134001194,67.95777015668078,-0.6285450618823358,46.668711656441715,26.623820953369663,40.71250164322335,-1.039246459210424,33.147239263803684,19.86784520765868,57.32000740329446,-0.7120671172911187,149.29447852760737,80.33355866845125,58.274090815697555,-0.7754477650455659,53.6319018404908,32.086102729000665,83.90528483184626,-0.2690230693766666
669221,Sean Murphy,30,142,142,67,37,2,18,124,56,2,134,13,537,19,42,14,612.0,229,196.0,0,5,2,0.25,0.332,0.426,0.758,66.0,1.00,0.29,68,0.20261437908496732,0.029411764705882353,0.21895424836601307,0.10784313725490197,0.0915032679738562,0.3741830065359477,0.1111111111111111,0.2410858895705522,0.03594292436645106,103.69748326844285,0.24800737799087375,0.28799214737611517,0.04327244430002328,100.69719005958262,0.046400259018502664,0.30771165644171783,0.0387961949143451,107.8932153039456,0.6260496322360068,0.6995521472392637,0.1039573840377786,108.35503871889993,0.5622289681654172,91.23312883435582,46.50920134001194,146.87647098379398,0.919535703333004,46.668711656441715,26.623820953369663,141.42237412909165,0.7260899319228484,33.147239263803684,19.86784520765868,168.94317971497316,1.15023851340391,149.29447852760737,80.33355866845125,153.38812410108895,0.9921821315217639,53.6319018404908,32.086102729000665,126.79020819034545,0.44779817233841734
664913,Seth Brown,2,104,136,55,26,3,25,146,51,3,115,3,500,2,11,7,555.0,222,214.0,0,1,0,0.23,0.305,0.444,0.749,73.0,0.76,0.2727272727272727,95,0.26306306306306304,0.04504504504504504,0.2072072072072072,0.13153153153153152,0.0918918918918919,0.4,0.17117117117117117,0.2410858895705522,0.03594292436645106,95.40168460696744,-0.3084303730416462,0.28799214737611517,0.04327244430002328,94.69955178017175,-0.35276201508298555,0.30771165644171783,0.0387961949143451,99.11876707139581,-0.0698949071604748,0.6995521472392637,0.1039573840377786,107.06850131986285,0.47565503132289944,91.23312883435582,46.50920134001194,126.05070270997243,0.5110143902900671,46.668711656441715,26.623820953369663,156.4217168397529,0.9890123731554635,33.147239263803684,19.86784520765868,153.85896724042198,0.8985755903370143,149.29447852760737,80.33355866845125,148.69940415040065,0.9050454464797124,53.6319018404908,32.086102729000665,177.1333790894532,1.2892839778300376
669127,Shea Langeliers,24,28,32,14,10,1,6,53,9,0,31,0,142,3,16,4,153.0,61,53.0,0,2,0,0.218,0.261,0.43,0.691,22.0,0.88,0.29411764705882354,44,0.3464052287581699,0.0392156862745098,0.20261437908496732,0.1437908496732026,0.058823529411764705,0.39869281045751637,0.2875816993464052,0.2410858895705522,0.03594292436645106,90.42420541008218,-0.6422930236611587,0.28799214737611517,0.04327244430002328,102.12696760606758,0.14155659061545256,0.30771165644171783,0.0387961949143451,84.81966624798133,-1.204026749139925,0.6995521472392637,0.1039573840377786,98.7774825260684,-0.08226589499554832,91.23312883435582,46.50920134001194,33.97888507834039,-1.2950798357944961,46.668711656441715,26.623820953369663,47.14079137636388,-0.9265654129678746,33.147239263803684,19.86784520765868,27.151582454192113,-1.2153929634249103,149.29447852760737,80.33355866845125,40.85884528456955,-1.0990983094874713,53.6319018404908,32.086102729000665,82.04072294669412,-0.3001892103208007
519390,Stephen Vogt,70,33,66,18,4,1,7,46,17,0,27,2,168,0,1,4,191.0,54,68.0,0,4,0,0.161,0.241,0.321,0.562,23.0,0.50,0.16806722689075632,29,0.24083769633507854,0.03664921465968586,0.14136125654450263,0.12041884816753927,0.08900523560209424,0.28272251308900526,0.1518324607329843,0.2410858895705522,0.03594292436645106,66.7811792248772,-2.2281406141038413,0.28799214737611517,0.04327244430002328,58.35826720346719,-2.771392335821768,0.30771165644171783,0.0387961949143451,78.32007496461111,-1.7195412227669484,0.6995521472392637,0.1039573840377786,80.3371131398704,-1.3231589897383007,91.23312883435582,46.50920134001194,29.59451281016744,-1.381084322750904,46.668711656441715,26.623820953369663,49.283554620744056,-0.8890050642203582,33.147239263803684,19.86784520765868,51.286322413474,-0.8127322865178771,149.29447852760737,80.33355866845125,36.170125333881245,-1.1862349945295227,53.6319018404908,32.086102729000665,54.07229466941204,-0.767681324482812
643393,Tony Kemp,2,149,170,61,24,2,7,69,45,0,117,8,497,1,11,5,558.0,166,139.0,5,3,0,0.235,0.307,0.334,0.641,46.0,0.88,0.25943396226415094,24,0.12365591397849462,0.012544802867383513,0.20967741935483872,0.08243727598566308,0.08064516129032258,0.2974910394265233,0.043010752688172046,0.2410858895705522,0.03594292436645106,97.4756342723363,-0.16932093528351683,0.28799214737611517,0.04327244430002328,90.08369312421999,-0.6599623749922735,0.30771165644171783,0.0387961949143451,99.76872619973282,-0.018343459797772466,0.6995521472392637,0.1039573840377786,91.630052531418,-0.5632322107873126,91.23312883435582,46.50920134001194,128.2428888440589,0.554016633768271,46.668711656441715,26.623820953369663,98.56710924148811,-0.02511704302748022,33.147239263803684,19.86784520765868,135.75791227096056,0.5965800826567393,149.29447852760737,80.33355866845125,111.18964454489418,0.2079519661433007,53.6319018404908,32.086102729000665,44.749485243651336,-0.9235120292034824
543305,Aaron Hicks,130,89,106,54,9,2,8,109,62,3,83,4,384,3,10,10,453.0,120,188.0,1,2,0,0.216,0.33,0.313,0.643,40.0,0.84,0.2788104089219331,47,0.24061810154525387,0.017660044150110375,0.18322295805739514,0.08830022075055188,0.1368653421633554,0.26490066225165565,0.10375275938189846,0.2410858895705522,0.03594292436645106,89.59462554393464,-0.6979367987644107,0.28799214737611517,0.04327244430002328,96.81180944069602,-0.21218441903863372,0.30771165644171783,0.0387961949143451,107.24325617560856,0.5744981848733045,0.6995521472392637,0.1039573840377786,91.91594973120402,-0.543993558155642,91.23312883435582,46.50920134001194,90.9757245645888,-0.17702150536119507,46.668711656441715,26.623820953369663,85.71052977520705,-0.25047913551257883,33.147239263803684,19.86784520765868,187.04423468443457,1.4522340210841849,149.29447852760737,80.33355866845125,80.37805629751387,-0.364660535561609,53.6319018404908,32.086102729000665,87.63440860215054,-0.20669078748839845
