,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
493329,Yuli Gurriel,1.0,120.0,172.0,47.0,35.0,0.0,7.0,64.0,28.0,0.0,110.0,6.0,463.0,0.0,8.0,13.0,500.0,166.0,224.0,0.0,3.0,0.0,0.238,0.288,0.359,0.647,43.0,0.70,0.128,0.014,0.22,0.086,0.2607594936708861,0.24463225806451613,0.03558126227928846,97.28888654464897,-0.18639749237836126,0.29044287692903553,0.046179225151725234,89.7799582582285,-0.6427865162445346,0.7040903225806453,0.1045578425475916,91.89161947697325,-0.5460166467633404,81.51612903225806,38.04736536072286,134.94261970716263,0.7486424013250198,40.851612903225806,23.03323221657546,105.25900189513581,0.09327336591640598
647351,Abraham Toro,21.0,79.0,100.0,32.0,11.0,1.0,9.0,51.0,21.0,1.0,51.0,1.0,278.0,0.0,1.0,4.0,303.0,91.0,113.0,0.0,3.0,0.0,0.183,0.241,0.327,0.568,30.0,0.79,0.16831683168316833,0.0297029702970297,0.16831683168316833,0.09900990099009901,0.19004524886877827,0.24463225806451613,0.03558126227928846,74.80616066248218,-1.7321549072864604,0.29044287692903553,0.046179225151725234,65.43291778342095,-2.174086458367231,0.7040903225806453,0.1045578425475916,80.67146810343246,-1.3015792910866644,81.51612903225806,38.04736536072286,62.56430550059358,-0.8020562985882997,40.851612903225806,23.03323221657546,73.43651295009475,-0.4711285329471317
624428,Adam Frazier,8.0,146.0,163.0,56.0,19.0,3.0,3.0,65.0,42.0,1.0,115.0,5.0,480.0,5.0,8.0,12.0,536.0,149.0,189.0,4.0,5.0,0.0,0.24,0.305,0.31,0.615,33.0,0.90,0.12126865671641791,0.005597014925373134,0.21455223880597016,0.061567164179104475,0.2685851318944844,0.24463225806451613,0.03558126227928846,98.1064402130914,-0.1301881318362485,0.29044287692903553,0.046179225151725234,92.47433944131753,-0.4733242050453618,0.7040903225806453,0.1045578425475916,87.34674803452634,-0.8520673381348134,81.51612903225806,38.04736536072286,141.0763751483973,0.8800575453854705,40.851612903225806,23.03323221657546,80.78016424510423,-0.34088194090169993
663728,Cal Raleigh,101.0,52.0,103.0,40.0,18.0,1.0,23.0,101.0,32.0,0.0,67.0,2.0,319.0,23.0,46.0,5.0,357.0,156.0,157.0,0.0,4.0,1.0,0.21,0.283,0.489,0.772,54.0,0.50,0.28291316526610644,0.06442577030812324,0.1876750700280112,0.15126050420168066,0.22110552763819097,0.24463225806451613,0.03558126227928846,85.84313518645497,-0.973328539967939,0.29044287692903553,0.046179225151725234,76.12702710289366,-1.5014836014036965,0.7040903225806453,0.1045578425475916,109.64502354903145,0.6494938664064751,81.51612903225806,38.04736536072286,82.19232291254453,-0.38152783759485714,40.851612903225806,23.03323221657546,132.18572331017054,0.5708442034163225
467793,Carlos Santana,28.0,46.0,62.0,23.0,5.0,0.0,10.0,36.0,26.0,1.0,31.0,2.0,173.0,0.0,0.0,6.0,203.0,66.0,75.0,0.0,2.0,0.0,0.179,0.291,0.382,0.673,25.0,0.74,0.17733990147783252,0.04926108374384237,0.15270935960591134,0.12315270935960591,0.16279069767441862,0.24463225806451613,0.03558126227928846,73.17105332559734,-1.844573628370686,0.29044287692903553,0.046179225151725234,56.04912724858926,-2.764277201170143,0.7040903225806453,0.1045578425475916,95.58432752396135,-0.29735046002401855,81.51612903225806,38.04736536072286,38.02928373565493,-1.327716874830103,40.851612903225806,23.03323221657546,61.19709412507896,-0.6882061863561846
592200,Curt Casali,1.0,20.0,29.0,13.0,3.0,0.0,4.0,36.0,15.0,0.0,25.0,1.0,108.0,3.0,13.0,1.0,126.0,40.0,55.0,0.0,2.0,1.0,0.231,0.325,0.37,0.695,14.0,0.69,0.2857142857142857,0.031746031746031744,0.1984126984126984,0.1111111111111111,0.3,0.24463225806451613,0.03558126227928846,94.42744870510047,-0.38313025427575514,0.29044287692903553,0.046179225151725234,103.29053450097163,0.2069571986009689,0.7040903225806453,0.1045578425475916,98.7089266406436,-0.08694060970613186,81.51612903225806,38.04736536072286,30.668777206173324,-1.485415047702644,40.851612903225806,23.03323221657546,34.27037271004422,-1.1657770238561012
553993,Eugenio Suarez,16.0,81.0,123.0,67.0,23.0,2.0,27.0,180.0,69.0,0.0,114.0,8.0,494.0,0.0,0.0,10.0,575.0,222.0,201.0,0.0,4.0,0.0,0.231,0.332,0.449,0.781,79.0,0.66,0.3130434782608696,0.04695652173913043,0.19826086956521738,0.1373913043478261,0.29896907216494845,0.24463225806451613,0.03558126227928846,94.42744870510047,-0.38313025427575514,0.29044287692903553,0.046179225151725234,102.93558421059028,0.18463270459604886,0.7040903225806453,0.1045578425475916,110.92326864221964,0.7355706233547019,81.51612903225806,38.04736536072286,139.84962406015038,0.8537745165733804,40.851612903225806,23.03323221657546,193.38281743524954,1.6562324704615872
641487,J.P. Crawford,124.0,136.0,143.0,53.0,22.0,2.0,6.0,67.0,52.0,0.0,115.0,6.0,454.0,2.0,3.0,9.0,519.0,159.0,180.0,2.0,5.0,0.0,0.253,0.335,0.35,0.685,37.0,0.95,0.12909441233140656,0.011560693641618497,0.22157996146435452,0.07129094412331406,0.2823834196891192,0.24463225806451613,0.03558126227928846,103.4205390579672,0.23517271168748438,0.29044287692903553,0.046179225151725234,97.22511451300439,-0.17452560569036007,0.7040903225806453,0.1045578425475916,97.28865431487894,-0.18258145075971613,81.51612903225806,38.04736536072286,141.0763751483973,0.8800575453854705,40.851612903225806,23.03323221657546,90.57169930511687,-0.16721981817445755
608385,Jesse Winker,11.0,102.0,134.0,45.0,15.0,0.0,13.0,92.0,79.0,1.0,92.0,2.0,417.0,0.0,0.0,8.0,501.0,146.0,176.0,0.0,3.0,0.0,0.221,0.345,0.35,0.695,48.0,0.76,0.18363273453093812,0.02594810379241517,0.18363273453093812,0.09580838323353294,0.2507936507936508,0.24463225806451613,0.03558126227928846,90.33968036288834,-0.6641770569863189,0.29044287692903553,0.046179225151725234,86.34870079975406,-0.8585944438243452,0.7040903225806453,0.1045578425475916,98.7089266406436,-0.08694060970613186,81.51612903225806,38.04736536072286,112.86110011871784,0.2755478827073969,40.851612903225806,23.03323221657546,117.49842072015161,0.31035101932545894
677594,Julio Rodriguez,120.0,102.0,106.0,74.0,22.0,3.0,23.0,137.0,38.0,4.0,128.0,7.0,472.0,6.0,24.0,6.0,518.0,225.0,172.0,0.0,1.0,0.0,0.271,0.334,0.477,0.811,68.0,0.96,0.2644787644787645,0.0444015444015444,0.2471042471042471,0.13127413127413126,0.3354632587859425,0.24463225806451613,0.03558126227928846,110.77852207394905,0.7410569565664992,0.29044287692903553,0.046179225151725234,115.50059768479255,0.9749055275178226,0.7040903225806453,0.1045578425475916,115.18408561951361,1.0224931465154579,81.51612903225806,38.04736536072286,157.02413929560743,1.2217369199426427,40.851612903225806,23.03323221657546,166.45609602021477,1.1786616329616708
