,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,passedBall,catcherERA,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
665154,Ford Proctor,5,5,8,3,2,0,0,1,3,1,0,2,0,.143,14,.176,.357,.533,0,0,.---,0,66,,,,,,,,,,,,,,,,,,,,0,0,5,2.67,,,,,,,,,,,,0,0,2,9,2,0,11,1.000,2.20,2.48,40.0,5,1,0,0,0,9.00,17,6,3,.083,14.00
605204,J.D. Davis,2,0,22,23,20,8,0,8,53,18,1,36,2,.269,134,.364,.507,.871,0,0,.---,4,651,,,,,,,,,,,,,,,,,,,,,,68,0.96,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,0.00,2.0,2,0,0,0,,,154,14,52,.384,16.75
606424,Jarlin Garcia,58,0,58,77,34,11,1,10,56,18,1,60,1,.242,248,.295,.415,.710,0,3,1.000,4,1015,3.74,65.0,1,4,1,3,4,2,27,1.20,270,195,58,0,0,661,.650,1,0,2,0,103,0.75,.200,15.62,14,3.11,7.75,2.49,8.31,4.71,1.38,29,10,0,2,1,3,1,0,4,1.000,0.07,0.55,65.0,58,0,0,0,,,,,,,
613564,Jason Vosler,1,0,23,21,13,6,1,4,29,9,1,26,2,.265,98,.336,.469,.805,1,1,.500,3,414,,,,,,,,,,,,,,,,,,,,,,46,1.10,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,0.00,1.0,1,0,0,0,,,110,12,36,.333,24.50
605194,Jharel Cotton,25,0,23,49,13,5,0,7,31,16,0,23,2,.185,124,.285,.395,.680,1,2,.667,2,582,2.83,35.0,2,2,0,2,2,2,11,1.11,144,105,25,0,0,374,.640,2,0,2,0,49,0.47,.500,16.63,7,1.94,7.97,4.11,5.91,3.34,1.80,8,6,0,0,2,2,1,0,3,1.000,0.12,0.77,35.0,25,0,0,0,,,,,,,
592626,Joc Pederson,14,9,73,107,57,19,3,23,100,42,3,104,7,.274,380,.353,.521,.874,2,3,.600,5,1685,,,,,,,,,,,,,,,,,,,,,,198,0.68,,,,,,,,,,,,0,0,4,0,0,0,0,.000,0.00,-.--,0.0,14,0,0,0,,,433,70,134,.310,16.52
663698,Joey Bart,3,3,48,45,33,6,0,11,109,26,0,55,4,.214,257,.296,.366,.662,12,46,.793,5,1143,,,,,,,,,,,,,,,,,,,,32,0,94,1.07,,,,,,,,,,,,1,0,0,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,4,4.07,287,25,114,.321,23.36
605154,John Brebbia,75,10,56,86,26,18,3,5,53,18,2,69,1,.265,260,.313,.415,.728,4,4,.500,2,1076,3.09,67.0,6,2,0,4,18,4,23,1.30,283,201,75,0,0,721,.670,1,0,0,0,108,0.65,.750,16.06,4,2.94,7.12,2.42,9.27,3.49,0.67,24,7,0,2,2,9,4,0,13,1.000,0.17,1.75,67.0,75,0,0,0,,,,,,,
664774,Wade Jr.,10,9,49,74,28,7,1,8,50,26,0,42,5,.198,212,.299,.354,.653,0,0,.---,0,972,,,,,,,,,,,,,,,,,,,,,,75,0.66,,,,,,,,,,,,0,2,1,0,0,0,0,.000,0.00,-.--,0.0,10,0,0,0,,,246,25,85,.219,26.50
656814,Luis Ortiz,5,0,6,11,1,0,0,0,5,3,0,5,0,.185,27,.267,.185,.452,0,1,1.000,1,106,1.17,7.2,0,0,0,0,0,0,1,1.04,30,23,5,0,0,69,.650,0,0,0,0,5,0.55,.---,13.83,3,1.67,5.87,3.52,5.87,1.17,0.00,3,1,0,0,0,2,0,0,2,1.000,0.40,2.57,7.2,5,0,0,0,,,,,,,
573262,Mike Yastrzemski,147,1,99,146,73,30,2,17,141,60,0,102,5,.212,482,.303,.388,.691,1,5,.833,3,2335,,,,,,,,,,,,,,,,,,,,,,187,0.68,,,,,,,,,,,,0,1,5,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,553,55,216,.258,28.35
518397,Scott Alexander,17,4,34,6,2,2,0,1,10,1,0,12,0,.194,62,.206,.274,.480,0,0,.---,2,214,1.04,17.1,0,0,2,2,5,0,2,0.75,63,52,17,0,0,148,.690,0,0,0,0,17,5.67,.---,12.35,3,10.00,5.19,0.52,6.23,1.04,0.52,8,0,0,0,0,5,2,0,7,1.000,0.41,3.71,17.1,17,1,0,0,,,0,0,0,.---,-.--
663546,Sean Hjelle,8,0,33,12,19,3,0,3,28,8,0,33,1,.311,106,.365,.425,.790,0,0,.---,5,474,5.76,25.0,1,2,0,0,1,0,16,1.64,115,75,8,0,0,302,.640,1,0,1,0,45,2.75,.333,18.96,0,3.50,10.08,2.88,11.88,6.84,1.08,1,0,0,0,0,2,1,2,5,.600,0.38,1.08,25.0,8,1,0,2,,,,,,,
571946,Shelby Miller,4,0,1,6,5,3,0,0,14,3,1,6,0,.222,27,.300,.333,.633,0,0,.---,0,127,6.43,7.0,0,1,0,0,1,0,5,1.29,30,21,4,0,0,85,.670,0,0,0,0,9,0.17,.000,18.14,0,4.67,18.00,3.86,7.71,6.43,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.00,7.0,4,0,0,0,,,,,,,
