,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
607208,Trea Turner,136,140,144,85,35,2,19,109,38,1,169,3,556,3,24,9,605.0,265,232.0,0,6,2,0.304,0.348,0.477,0.825,91.0,0.97,0.18016528925619835,0.03140495867768595,0.2793388429752066,0.15041322314049588,0.3456221198156682,0.24522500000000003,0.035177170627174285,123.96778468753185,1.6708279532463708,0.294652673484853,0.03995439588894287,117.29814487274126,1.2756905766386688,0.7160625,0.09848702545203575,115.21340665095575,1.1061101652730252,77.7625,38.44517250979863,217.3284037936023,2.373184825136265,39.90625,23.763191470590066,228.03445575567736,2.1501215467305785
669257,Will Smith,20,87,153,58,23,1,21,78,51,3,111,9,425,9,41,8,489.0,199,198.0,0,4,0,0.261,0.35,0.468,0.818,81.0,0.57,0.15950920245398773,0.04294478527607362,0.22699386503067484,0.1656441717791411,0.2727272727272727,0.24522500000000003,0.035177170627174285,106.4328677744928,0.4484442528704634,0.294652673484853,0.03995439588894287,92.55889977230855,-0.5487606624944125,0.7160625,0.09848702545203575,114.23583835209914,1.03503481328761,77.7625,38.44517250979863,142.74232438514707,0.8645428757415163,39.90625,23.763191470590066,202.9757243539546,1.7293026507343796
673490,Ha-Seong Kim,109,112,131,49,25,3,8,87,43,0,111,6,437,2,9,9,490.0,166,183.0,1,3,0,0.254,0.327,0.38,0.707,51.0,0.85,0.17755102040816326,0.0163265306122449,0.22653061224489796,0.10408163265306122,0.2985507246376812,0.24522500000000003,0.035177170627174285,103.57834641655622,0.2494515574604317,0.294652673484853,0.03995439588894287,101.32293086186048,0.09756251010935481,0.7160625,0.09848702545203575,98.73439818451601,-0.09201719676683322,77.7625,38.44517250979863,142.74232438514707,0.8645428757415163,39.90625,23.763191470590066,127.79953014878622,0.4668459627457831
630105,Jake Cronenworth,2,101,175,80,26,3,15,112,62,3,124,16,506,0,2,1,593.0,201,193.0,0,6,3,0.245,0.342,0.397,0.739,72.0,0.58,0.18887015177065766,0.025295109612141653,0.209106239460371,0.12141652613827993,0.2831168831168831,0.24522500000000003,0.035177170627174285,99.9082475277806,-0.006396193781037601,0.294652673484853,0.03995439588894287,96.08495309696794,-0.28872393415820313,0.7160625,0.09848702545203575,103.20328183643186,0.2328986980236372,77.7625,38.44517250979863,159.45989390773187,1.2026867609506842,39.90625,23.763191470590066,180.42286609240406,1.3505656443378007
595751,Jorge Alfaro,10,52,43,25,13,0,7,92,10,0,61,4,245,5,23,5,262.0,95,116.0,0,3,0,0.249,0.286,0.388,0.674,38.0,1.21,0.3511450381679389,0.026717557251908396,0.23282442748091603,0.1450381679389313,0.3624161073825503,0.24522500000000003,0.035177170627174285,101.53940258945863,0.10731391788183765,0.294652673484853,0.03995439588894287,122.99773258333622,1.6960194839649771,0.7160625,0.09848702545203575,94.12586191847778,-0.4270867132695047,77.7625,38.44517250979863,78.44398006751327,-0.4360105289091289,39.90625,23.763191470590066,95.22317932654659,-0.0802186020492754
640492,Jose Azocar,3,43,38,17,6,3,0,34,12,0,39,0,152,5,4,4,166.0,51,77.0,1,1,0,0.257,0.309,0.336,0.645,8.0,1.13,0.20481927710843373,0.0,0.23493975903614459,0.04819277108433735,0.3277310924369748,0.24522500000000003,0.035177170627174285,104.80171271281475,0.33473414120758815,0.294652673484853,0.03995439588894287,111.2262409028582,0.8279043698737544,0.7160625,0.09848702545203575,90.07593610892903,-0.7215417429233685,77.7625,38.44517250979863,50.15270856775438,-1.0082540269554128,39.90625,23.763191470590066,20.04698512137823,-1.342675290037872
605137,Josh Bell,17,42,26,20,4,0,3,28,22,0,23,0,119,0,0,0,142.0,36,65.0,0,0,1,0.193,0.319,0.303,0.622,11.0,1.62,0.19718309859154928,0.02112676056338028,0.1619718309859155,0.07746478873239436,0.22727272727272727,0.24522500000000003,0.035177170627174285,78.70323172596594,-1.4846276453984144,0.294652673484853,0.03995439588894287,77.13241647692381,-1.6864213489653272,0.7160625,0.09848702545203575,86.86392598411452,-0.9550750423040191,77.7625,38.44517250979863,29.577238386111553,-1.4244311164436192,39.90625,23.763191470590066,27.564604541895065,-1.2164296212390122
665742,Juan Soto,1,29,34,22,3,1,3,17,27,0,23,1,103,0,0,1,132.0,37,44.0,0,0,1,0.223,0.389,0.359,0.748,6.0,0.85,0.12878787878787878,0.022727272727272728,0.17424242424242425,0.045454545454545456,0.24096385542168675,0.24522500000000003,0.035177170627174285,90.93689468855132,-0.6318018079268507,0.294652673484853,0.03995439588894287,81.7789475899915,-1.343752467498184,0.7160625,0.09848702545203575,104.46015536353322,0.324281293433457,77.7625,38.44517250979863,29.577238386111553,-1.4244311164436192,39.90625,23.763191470590066,15.035238841033674,-1.4268390692371116
595777,Jurickson Profar,6,141,149,73,32,2,14,88,69,0,119,4,493,1,5,11,570.0,197,189.0,2,2,0,0.241,0.338,0.4,0.738,55.0,0.95,0.1543859649122807,0.02456140350877193,0.20877192982456141,0.09649122807017543,0.26717557251908397,0.24522500000000003,0.035177170627174285,98.27709246610254,-0.12010630544391286,0.294652673484853,0.03995439588894287,90.6747491408112,-0.6877115860328443,0.7160625,0.09848702545203575,103.06362922230949,0.222745076311435,77.7625,38.44517250979863,153.03005947596847,1.0726314204856195,39.90625,23.763191470590066,137.82302270947534,0.6351735211442626
671277,Luis Garcia,59,89,54,23,17,2,6,64,5,0,83,1,286,4,2,4,296.0,122,129.0,1,3,0,0.29,0.302,0.427,0.729,34.0,1.65,0.21621621621621623,0.02027027027027027,0.28040540540540543,0.11486486486486487,0.3515981735159817,0.24522500000000003,0.035177170627174285,118.25874197165867,1.2728425624263073,0.294652673484853,0.03995439588894287,119.32631370950585,1.4252624464505546,0.7160625,0.09848702545203575,101.80675569520817,0.1313624809016152,77.7625,38.44517250979863,106.73525156727214,0.13623296913715502,39.90625,23.763191470590066,85.19968676585748,-0.24854616044775493
