,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,babip,difstrikeOutsbaseOnBalls,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,difstrikeOutsbaseOnBallsperplateAppearance,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score,difstrikeOutsbaseOnBalls_mean,difstrikeOutsbaseOnBalls_std,normalized_difstrikeOutsbaseOnBalls,difstrikeOutsbaseOnBalls_z_score
663586,Austin Riley,157,135,146,90,39,2,38,163,55,1,168,17,608,0,2,13,684.0,325,264.0,0,4,0,0.276,0.351,0.535,0.886,93.0,0.92,0.31630170316301703,108,0.23830409356725146,0.05555555555555555,0.24561403508771928,0.13596491228070176,0.0804093567251462,0.47514619883040937,0.15789473684210525,0.24411111111111114,0.03362600295209292,113.0632680928539,0.9483401561083871,0.29513220777658894,0.04118141126640814,107.17288551659978,0.5140546361920371,0.7175370370370371,0.09382679555349382,123.47794667974294,1.7954675097788724,87.67901234567901,43.679330404764016,191.60799774711347,1.838878639164316,45.19753086419753,26.520082512582736,205.7634526085769,1.8025007694875035,33.49382716049383,19.84450325620344,164.2093623295245,1.0837345012797581,145.44444444444446,75.79729423709395,223.4530175706646,2.3688913616613507,54.30246913580247,27.482595171194475,198.88598385813344,1.9538740984868816
621020,Dansby Swanson,159,118,162,99,31,1,25,180,48,0,175,3,631,7,18,10,686.0,283,213.0,0,4,0,0.277,0.329,0.448,0.777,96.0,0.73,0.3488372093023256,132,0.26239067055393583,0.03644314868804665,0.25510204081632654,0.13994169096209913,0.06997084548104957,0.41253644314868804,0.1924198250728863,0.24411111111111114,0.03362600295209292,113.47291761492943,0.9780790460211937,0.29513220777658894,0.04118141126640814,118.19693009120529,1.3041078456081,0.7175370370370371,0.09382679555349382,108.28709319431182,0.6337524649774605,87.67901234567901,43.679330404764016,199.59166431990988,1.9991375061188452,45.19753086419753,26.520082512582736,212.40098333788583,1.9156225894734187,33.49382716049383,19.84450325620344,143.30998894213047,0.7309919856508127,145.44444444444446,75.79729423709395,194.57601222307105,1.8147818723618516,54.30246913580247,27.482595171194475,243.08286915994088,2.8271540726122977
592696,Eddie Rosario,9,61,70,27,12,1,5,65,17,0,52,0,245,0,3,3,265.0,81,87.0,0,3,0,0.212,0.26,0.331,0.591,23.0,0.87,0.2640449438202247,48,0.24528301886792453,0.018867924528301886,0.19622641509433963,0.08679245283018867,0.06415094339622641,0.30566037735849055,0.1811320754716981,0.24411111111111114,0.03362600295209292,86.84569868001819,-0.9549487983112341,0.29513220777658894,0.04118141126640814,89.46666506154527,-0.7548858332041248,0.7175370370370371,0.09382679555349382,82.36508632926419,-1.3486236665185274,87.67901234567901,43.679330404764016,59.30723739791608,-0.8168397275107399,45.19753086419753,26.520082512582736,50.887735591368475,-0.8370083635171828,33.49382716049383,19.84450325620344,50.75562108367121,-0.8311534407059457,145.44444444444446,75.79729423709395,55.69136745607334,-0.8502209095071682,54.30246913580247,27.482595171194475,88.39377060361487,-0.2293258368266589
542303,Marcell Ozuna,123,106,139,55,18,0,22,121,31,0,103,2,465,1,2,12,502.0,187,209.0,0,4,0,0.222,0.271,0.402,0.673,53.0,0.76,0.24846625766871167,90,0.2410358565737052,0.043824701195219126,0.2051792828685259,0.10557768924302789,0.061752988047808766,0.37250996015936255,0.17928286852589642,0.24411111111111114,0.03362600295209292,90.94219390077377,-0.6575598991831682,0.29513220777658894,0.04118141126640814,84.18812014471739,-1.1331799633089044,0.7175370370370371,0.09382679555349382,93.79306785041422,-0.4746728988697581,87.67901234567901,43.679330404764016,117.47395099971838,0.35076058887225886,45.19753086419753,26.520082512582736,117.26304288445779,0.2942098363419685,33.49382716049383,19.84450325620344,92.55436785845926,-0.12566840944805474,145.44444444444446,75.79729423709395,128.57142857142856,0.5482458968201392,54.30246913580247,27.482595171194475,165.73831988177787,1.2989141178928194
621566,Matt Olson,159,137,158,84,43,0,33,166,75,6,145,4,602,0,0,12,685.0,287,253.0,0,4,0,0.241,0.327,0.477,0.804,101.0,0.87,0.2751842751842752,91,0.24233576642335766,0.04817518248175182,0.2116788321167883,0.14744525547445256,0.10948905109489052,0.41897810218978104,0.13284671532846715,0.24411111111111114,0.03362600295209292,98.72553482020936,-0.09252099083984375,0.29513220777658894,0.04118141126640814,93.24101807031036,-0.4843916703890469,0.7175370370370371,0.09382679555349382,112.04996515859291,0.921516742130104,87.67901234567901,43.679330404764016,165.37595043649677,1.3123137905994342,45.19753086419753,26.520082512582736,223.4635345534007,2.1041589561166107,33.49382716049383,19.84450325620344,223.92185772207887,2.0915702602196022,145.44444444444446,75.79729423709395,197.32620320855614,1.8675542046760896,54.30246913580247,27.482595171194475,167.5798567693532,1.3353007834813784
671739,Harris II,112,120,62,75,27,3,19,105,19,0,122,5,409,2,20,7,433.0,212,141.0,0,0,0,0.298,0.337,0.518,0.855,64.0,1.94,0.36140350877192984,86,0.24249422632794457,0.04387990762124711,0.2817551963048499,0.14780600461893764,0.04387990762124711,0.4896073903002309,0.19861431870669746,0.24411111111111114,0.03362600295209292,122.07555757851614,1.6025957341901305,0.29513220777658894,0.04118141126640814,122.45478441495865,1.6092527904549665,0.7175370370370371,0.09382679555349382,119.157612202235,1.4650714878628741,87.67901234567901,43.679330404764016,139.14390312588003,0.7857489420345525,45.19753086419753,26.520082512582736,141.60065555859055,0.7089898429569906,33.49382716049383,19.84450325620344,56.726870622926654,-0.7303698648119612,145.44444444444446,75.79729423709395,145.76012223071044,0.8780729737841269,54.30246913580247,27.482595171194475,158.37217233147663,1.1533674555385833
543257,Robbie Grossman,43,23,43,15,4,0,5,36,16,0,27,0,128,1,3,1,145.0,46,60.0,0,1,0,0.211,0.297,0.359,0.656,22.0,0.53,0.25,20,0.2482758620689655,0.034482758620689655,0.18620689655172415,0.15172413793103448,0.1103448275862069,0.31724137931034485,0.13793103448275862,0.24411111111111114,0.03362600295209292,86.43604915794263,-0.9846876882240407,0.29513220777658894,0.04118141126640814,84.70779989869712,-1.0959364040397392,0.7175370370370371,0.09382679555349382,91.42385216920019,-0.6558578141140151,87.67901234567901,43.679330404764016,30.794142495071807,-1.3891928237769158,45.19753086419753,26.520082512582736,48.6752253482655,-0.8747156368458211,33.49382716049383,19.84450325620344,47.76999631404349,-0.8815452286529378,145.44444444444446,75.79729423709395,31.627196333078682,-1.3119788172567508,54.30246913580247,27.482595171194475,36.8307377515062,-1.2481524733063112
660670,Acuna Jr.,27,116,100,71,24,0,15,124,51,3,123,10,460,11,28,8,524.0,192,143.0,0,3,0,0.267,0.351,0.417,0.768,49.0,1.16,0.3333333333333333,73,0.2366412213740458,0.02862595419847328,0.23473282442748092,0.09351145038167939,0.09732824427480916,0.366412213740458,0.13931297709923665,0.24411111111111114,0.03362600295209292,109.37642239417387,0.6806901468931277,0.29513220777658894,0.04118141126640814,112.94373319826283,0.9276303162515754,0.7175370370370371,0.09382679555349382,107.03280253955145,0.5378310392599126,87.67901234567901,43.679330404764016,140.2844269219938,0.8086430658851995,45.19753086419753,26.520082512582736,108.41300191204589,0.14338074302741502,33.49382716049383,19.84450325620344,152.2668632510136,0.8821673494917893,145.44444444444446,75.79729423709395,132.00916730328493,0.6142113122129368,54.30246913580247,27.482595171194475,134.4321927929976,0.6803408028873164
518595,Travis d'Arnaud,105,104,93,60,24,1,18,88,19,0,104,10,389,0,0,12,418.0,184,143.0,0,0,0,0.267,0.318,0.473,0.791,60.0,1.12,0.303886925795053,69,0.21052631578947367,0.0430622009569378,0.24880382775119617,0.14354066985645933,0.045454545454545456,0.44019138755980863,0.16507177033492823,0.24411111111111114,0.03362600295209292,109.37642239417387,0.6806901468931277,0.29513220777658894,0.04118141126640814,102.96637160831028,0.21258907233238314,0.7175370370370371,0.09382679555349382,110.23821199060573,0.7829635716492016,87.67901234567901,43.679330404764016,118.61447479583217,0.3736547127229059,45.19753086419753,26.520082512582736,132.75061458617864,0.5581607496424371,33.49382716049383,19.84450325620344,56.726870622926654,-0.7303698648119612,145.44444444444446,75.79729423709395,126.50878533231473,0.5086666475844607,54.30246913580247,27.482595171194475,127.06604524269638,0.5347941405330803
687093,Vaughn Grissom,1,33,33,23,5,0,5,32,11,1,40,2,138,2,5,0,151.0,60,64.0,0,0,0,0.29,0.351,0.435,0.786,17.0,1.00,0.3465346534653465,21,0.2119205298013245,0.033112582781456956,0.26490066225165565,0.11258278145695365,0.0728476821192053,0.3973509933774834,0.1390728476821192,0.24411111111111114,0.03362600295209292,118.79836140191166,1.3646846148876777,0.29513220777658894,0.04118141126640814,117.41675233482769,1.2481953412482192,0.7175370370370371,0.09382679555349382,109.54138384907219,0.7296738906950083,87.67901234567901,43.679330404764016,45.62095184455083,-1.0915692137185042,45.19753086419753,26.520082512582736,37.61267413275061,-1.063252003489013,33.49382716049383,19.84450325620344,32.8418724659049,-1.1335041683878988,145.44444444444446,75.79729423709395,41.252864782276546,-1.1272756541569178,54.30246913580247,27.482595171194475,38.67227463908151,-1.2117658077177522
661388,William Contreras,94,84,52,48,13,1,20,100,37,1,89,1,323,0,2,5,363.0,164,134.0,0,2,0,0.276,0.35,0.508,0.858,44.0,1.62,0.33658536585365856,63,0.27548209366391185,0.05509641873278237,0.24517906336088155,0.12121212121212122,0.10192837465564739,0.45179063360881544,0.17355371900826447,0.24411111111111114,0.03362600295209292,113.0632680928539,0.9483401561083871,0.29513220777658894,0.04118141126640814,114.0456232782459,1.0065987736287985,0.7175370370370371,0.09382679555349382,119.57570908715513,1.49704529643539,87.67901234567901,43.679330404764016,101.50661785412561,0.030242854963200394,45.19753086419753,26.520082512582736,97.350450696531,-0.04515562361577685,33.49382716049383,19.84450325620344,110.46811647622556,0.1766823182338985,145.44444444444446,75.79729423709395,112.75783040488922,0.24480498601327064,54.30246913580247,27.482595171194475,116.01682391724452,0.3164741470017262
607043,Brandon Nimmo,149,166,143,100,28,7,14,116,71,0,153,16,572,2,3,9,665.0,237,165.0,3,3,0,0.267,0.363,0.414,0.777,58.0,1.16,0.31235955056179776,45,0.17443609022556392,0.021052631578947368,0.23007518796992482,0.08721804511278196,0.10676691729323308,0.35639097744360904,0.06766917293233082,0.24411111111111114,0.03362600295209292,109.37642239417387,0.6806901468931277,0.29513220777658894,0.04118141126640814,105.83716122174293,0.4183281304703912,0.7175370370370371,0.09382679555349382,108.28709319431182,0.6337524649774605,87.67901234567901,43.679330404764016,174.50014080540691,1.4954667814046105,45.19753086419753,26.520082512582736,128.32559409997268,0.4827462029851604,33.49382716049383,19.84450325620344,211.979358643568,1.8900031084316335,145.44444444444446,75.79729423709395,162.94881588999235,1.2079000507481144,54.30246913580247,27.482595171194475,82.86915994088893,-0.3384858335923359
596129,Daniel Vogelbach,75,59,58,29,10,1,12,67,40,1,54,0,237,0,0,8,278.0,102,95.0,0,1,0,0.228,0.338,0.43,0.768,34.0,1.02,0.2641509433962264,27,0.24100719424460432,0.04316546762589928,0.19424460431654678,0.1223021582733813,0.14388489208633093,0.3669064748201439,0.09712230215827339,0.24411111111111114,0.03362600295209292,93.40009103322711,-0.4791265597063286,0.29513220777658894,0.04118141126640814,89.50258102503848,-0.7523118666317801,0.7175370370370371,0.09382679555349382,107.03280253955145,0.5378310392599126,87.67901234567901,43.679330404764016,61.58828499014361,-0.7710514798094458,45.19753086419753,26.520082512582736,75.22534826550122,-0.4222283569021606,33.49382716049383,19.84450325620344,119.42499078510873,0.3278576820748751,145.44444444444446,75.79729423709395,70.12987012987011,-0.5731661648574186,54.30246913580247,27.482595171194475,49.72149596453336,-0.9934458141863981
500871,Eduardo Escobar,134,90,162,57,26,4,20,126,37,3,119,1,491,2,0,4,535.0,213,263.0,0,6,0,0.242,0.293,0.434,0.727,69.0,0.56,0.28205128205128205,89,0.23551401869158878,0.037383177570093455,0.22242990654205608,0.12897196261682242,0.0691588785046729,0.3981308411214953,0.16635514018691588,0.24411111111111114,0.03362600295209292,99.13518434228492,-0.06278210092703715,0.29513220777658894,0.04118141126640814,95.56777424468393,-0.3176415116200027,0.7175370370370371,0.09382679555349382,101.31881177897644,0.10085565543552791,87.67901234567901,43.679330404764016,135.72233173753872,0.7170665704826114,45.19753086419753,26.520082512582736,152.66320677410542,0.8975262096001826,33.49382716049383,19.84450325620344,110.46811647622556,0.1766823182338985,145.44444444444446,75.79729423709395,146.44766997708172,0.8912660568626863,54.30246913580247,27.482595171194475,163.89678299420257,1.2625274523042604
596019,Francisco Lindor,158,152,175,97,24,5,25,131,59,2,168,10,619,6,16,11,695.0,277,288.0,0,7,0,0.271,0.341,0.447,0.788,103.0,0.87,0.30425531914893617,72,0.1884892086330935,0.03597122302158273,0.24172661870503598,0.14820143884892087,0.08489208633093526,0.3985611510791367,0.10359712230215827,0.24411111111111114,0.03362600295209292,111.01502048247609,0.7996457065443541,0.29513220777658894,0.04118141126640814,103.09119477032927,0.2215346947031169,0.7175370370370371,0.09382679555349382,109.82011510568559,0.7509897630766856,87.67901234567901,43.679330404764016,191.60799774711347,1.838878639164316,45.19753086419753,26.520082512582736,227.88855503960667,2.1795735027738874,33.49382716049383,19.84450325620344,176.1518614080354,1.285301653067727,145.44444444444446,75.79729423709395,190.4507257448434,1.7356233738904945,54.30246913580247,27.482595171194475,132.5906559054223,0.6439541372987573
543510,James McCann,1,38,57,18,6,0,2,42,11,0,31,4,166,8,26,5,183.0,43,75.0,0,2,2,0.187,0.251,0.259,0.51,15.0,0.67,0.23387096774193547,31,0.22950819672131148,0.01092896174863388,0.16939890710382513,0.08196721311475409,0.060109289617486336,0.23497267759562843,0.16939890710382513,0.24411111111111114,0.03362600295209292,76.60446062812926,-1.6984210461313982,0.29513220777658894,0.04118141126640814,79.24278055039409,-1.4875944789348328,0.7175370370370371,0.09382679555349382,71.07647043642088,-2.211916497976457,87.67901234567901,43.679330404764016,35.35623767952689,-1.2976163283743276,45.19753086419753,26.520082512582736,33.18765364654466,-1.1386665501462898,33.49382716049383,19.84450325620344,32.8418724659049,-1.1335041683878988,145.44444444444446,75.79729423709395,29.564553093964857,-1.3515580664924294,54.30246913580247,27.482595171194475,57.08764351483461,-0.847899151832162
643446,Jeff McNeil,145,130,168,71,38,1,8,61,39,1,171,11,525,0,4,6,580.0,235,225.0,0,5,0,0.326,0.381,0.448,0.829,61.0,0.77,0.35357917570498915,22,0.10517241379310345,0.013793103448275862,0.29482758620689653,0.10517241379310345,0.06724137931034482,0.4051724137931034,0.03793103448275862,0.24411111111111114,0.03362600295209292,133.54574419663177,2.4352846517487152,0.29513220777658894,0.04118141126640814,119.80365625585799,1.4192560704221338,0.7175370370370371,0.09382679555349382,115.5341058662606,1.1879651469010692,87.67901234567901,43.679330404764016,195.0295691354548,1.907561010716257,45.19753086419753,26.520082512582736,134.9631248292816,0.5958680229710756,33.49382716049383,19.84450325620344,116.43936601548101,0.2774658941278829,145.44444444444446,75.79729423709395,161.5737203972498,1.1815138845909954,54.30246913580247,27.482595171194475,40.513811526656816,-1.175379142129193
641645,Luis Guillorme,100,107,61,32,11,1,2,45,33,1,79,2,290,0,1,14,327.0,98,148.0,2,0,0,0.272,0.351,0.338,0.689,16.0,1.75,0.3168724279835391,12,0.13761467889908258,0.0061162079510703364,0.2415902140672783,0.04892966360856269,0.10091743119266056,0.2996941896024465,0.03669724770642202,0.24411111111111114,0.03362600295209292,111.42467000455166,0.8293845964571607,0.29513220777658894,0.04118141126640814,107.36626489217578,0.5279134332310692,0.7175370370370371,0.09382679555349382,96.02291790332154,-0.30414591981634087,87.67901234567901,43.679330404764016,90.1013798929879,-0.19869838354326994,45.19753086419753,26.520082512582736,35.40016388964764,-1.1009592768176515,33.49382716049383,19.84450325620344,98.52561739771471,-0.024884833554070337,145.44444444444446,75.79729423709395,67.37967914438502,-0.6259384971716566,54.30246913580247,27.482595171194475,22.098442650903717,-1.5392457980147831
592192,Mark Canha,137,120,120,68,24,0,12,96,48,1,119,27,453,1,3,3,530.0,179,214.0,0,2,0,0.263,0.366,0.395,0.761,56.0,1.00,0.30835734870317005,48,0.1811320754716981,0.022641509433962263,0.22452830188679246,0.10566037735849057,0.09056603773584905,0.33773584905660375,0.09056603773584905,0.24411111111111114,0.03362600295209292,107.73782430587164,0.5617345872419013,0.29513220777658894,0.04118141126640814,104.4810903649636,0.32114346060230625,0.7175370370370371,0.09382679555349382,106.0572431414045,0.46322548592404206,87.67901234567901,43.679330404764016,135.72233173753872,0.7170665704826114,45.19753086419753,26.520082512582736,123.90057361376672,0.40733165632788365,33.49382716049383,19.84450325620344,143.30998894213047,0.7309919856508127,145.44444444444446,75.79729423709395,123.07104660045836,0.4427012321916632,54.30246913580247,27.482595171194475,88.39377060361487,-0.2293258368266589
