,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
518886,Craig Kimbrel,61,0,3,3,0,6,1.000,0.10,0.93,58.0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,3.88,58.0,6,7,22,27,2,5,25,1.36,254,174,61,0,0,649,.620,5,1,7,0,0,-.--,.462,17.98,47,2.39,10.40,4.34,7.91,4.81,0.62,3,1,0,0,0,0,0,0,.---,-.--,,
456034,David Price,40,0,6,1,0,7,1.000,0.18,1.58,40.1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,2.45,40.1,2,0,2,4,4,2,11,1.17,167,121,40,0,0,403,.680,0,0,0,0,0,-.--,1.000,14.78,13,4.11,8.26,2.01,8.48,2.45,1.34,12,4,0,0,0,0,0,0,.---,-.--,,
623465,Evan Phillips,63,0,8,3,0,11,1.000,0.17,1.60,62.0,63,0,0,0,51,54,11,6,0,2,74,15,1,31,3,.149,208,.215,.207,.422,1,3,.750,4,904,1.16,62.0,7,3,2,4,19,2,8,0.74,228,186,63,0,0,598,.660,3,0,0,0,43,0.94,.700,14.58,9,4.93,10.74,2.18,4.50,1.60,0.29,22,5,0,0,2,1,0,0,.---,-.--,,
518692,Freddie Freeman,156,156,89,1125,5,1219,.996,7.78,8.14,1342.1,156,98,0,0,138,171,116,46,2,20,99,84,12,196,5,.328,597,.411,.513,.924,3,13,.813,6,2707,,,,,,,,,,,,,,,,,,,,,,306,0.81,,,,,,,,,,,,0,0,7,693,98,199,.363,29.85,,
666158,Gavin Lux,126,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,117,86,65,19,7,6,93,47,0,114,0,.280,407,.352,.405,.757,2,7,.778,3,1792,,,,,,,,,,,,,,,,,,,,,,165,1.36,,,,,,,,,,,,0,0,3,457,42,204,.347,67.83,,
593643,Hanser Alberto,5,1,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,6,26,5,2,0,2,1,3,0,10,1,.238,42,.298,.429,.727,0,0,.---,0,152,4.09,11.0,0,0,0,0,0,0,5,1.18,47,33,10,0,0,90,.590,1,0,0,0,18,0.23,.---,13.82,10,0.33,0.82,2.45,8.18,4.09,1.64,0,0,0,0,1,157,15,80,.268,77.00,,
608336,Joey Gallo,82,0,0,2,0,2,1.000,2.00,3.00,6.0,1,0,0,0,29,61,32,4,1,12,106,40,0,37,0,.159,233,.282,.339,.621,0,2,1.000,0,1142,,,,,,,,,,,,,,,,,,,,,,79,0.48,,,,,,,,,,,,0,0,0,273,24,122,.217,19.42,,
628711,Julio Urias,30,30,11,3,1,15,.933,0.47,0.74,170.0,30,0,0,1,149,189,49,19,3,21,162,40,0,123,5,.199,619,.251,.341,.592,4,5,.556,13,2539,2.12,170.0,17,7,0,0,0,0,40,0.96,668,510,30,0,0,1752,.690,5,1,0,2,211,0.79,.708,14.94,0,4.05,8.58,2.12,6.51,2.59,1.11,0,0,0,0,4,,,,,,,
457759,Justin Turner,59,59,0,0,0,0,.000,0.00,-.--,0.0,59,0,0,0,95,156,61,36,0,13,87,50,1,128,6,.279,458,.352,.443,.795,0,3,1.000,13,2106,,,,,,,,,,,,,,,,,,,,,,203,0.61,,,,,,,,,,,,0,0,8,522,81,199,.314,35.23,,
571970,Max Muncy,24,24,0,0,0,0,.000,0.00,-.--,0.0,24,0,0,0,85,146,69,22,1,21,137,88,1,90,5,.199,452,.332,.392,.724,0,2,1.000,2,2381,,,,,,,,,,,,,,,,,,,,,,177,0.58,,,,,,,,,,,,0,0,6,551,69,210,.230,21.52,,
