,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
669257,Will Smith,19.0,85.0,144.0,55.0,22.0,1.0,19.0,77.0,49.0,3.0,107.0,9.0,409.0,9.0,40.0,8.0,471.0,188.0,191.0,0.0,4.0,0.0,0.262,0.35,0.46,0.81,75.0,0.59,0.16348195329087048,0.040339702760084924,0.22717622080679406,0.277602523659306,0.2446149068322981,0.0357671396172173,107.10712744077395,0.4860632791371776,0.29276622920335077,0.042730029510946343,94.82054143153502,-0.35487233960744696,0.7162298136645961,0.09940235462799693,113.09219255417867,0.9433396893497057,76.5776397515528,36.73428911649727,139.72747181442128,0.8281733764322283,39.3416149068323,22.267719233809654,190.63782759709505,1.6013487829066326
543592,Austin Nola,6.0,75.0,97.0,32.0,11.0,0.0,3.0,53.0,31.0,1.0,71.0,5.0,288.0,6.0,49.0,4.0,332.0,91.0,126.0,0.0,8.0,2.0,0.247,0.322,0.316,0.638,34.0,0.77,0.15963855421686746,0.009036144578313253,0.21385542168674698,0.2833333333333333,0.2446149068322981,0.0357671396172173,100.97503999187467,0.06668392253972044,0.29276622920335077,0.042730029510946343,96.77801094214814,-0.2207556600821204,0.7162298136645961,0.09940235462799693,89.07755413526664,-0.7870016153778565,76.5776397515528,36.73428911649727,92.71635980209263,-0.15183742181219703,39.3416149068323,22.267719233809654,86.42248184401642,-0.23988154560175998
592273,Brandon Drury,10.0,19.0,36.0,15.0,4.0,0.0,5.0,24.0,4.0,0.0,22.0,2.0,100.0,1.0,0.0,0.0,107.0,41.0,57.0,0.0,1.0,0.0,0.22,0.262,0.41,0.672,20.0,0.53,0.22429906542056074,0.04672897196261682,0.205607476635514,0.2361111111111111,0.2446149068322981,0.0357671396172173,89.93728258385599,-0.6881989193357018,0.29276622920335077,0.042730029510946343,80.64834245179013,-1.3258853022258286,0.7162298136645961,0.09940235462799693,93.82463382272599,-0.4449574039782219,76.5776397515528,36.73428911649727,28.729012896423068,-1.4857410083115539,39.3416149068323,22.267719233809654,50.83675402589202,-0.8685943407021867
673490,Ha-Seong Kim,103.0,106.0,125.0,48.0,24.0,3.0,7.0,81.0,41.0,0.0,108.0,6.0,416.0,2.0,9.0,8.0,467.0,159.0,172.0,1.0,3.0,0.0,0.26,0.333,0.382,0.715,49.0,0.85,0.1734475374732334,0.014989293361884369,0.23126338329764454,0.30513595166163143,0.2446149068322981,0.0357671396172173,106.28951578092072,0.43014603159085,0.29276622920335077,0.042730029510946343,104.2251193014782,0.28948546490265953,0.7162298136645961,0.09940235462799693,99.82829342745399,-0.012372077796332199,76.5776397515528,36.73428911649727,141.033336036986,0.8553958986056847,39.3416149068323,22.267719233809654,124.55004736343543,0.4337393062915544
630105,Jake Cronenworth,2.0,97.0,166.0,76.0,25.0,3.0,13.0,110.0,61.0,3.0,116.0,16.0,483.0,0.0,2.0,1.0,569.0,186.0,187.0,0.0,6.0,3.0,0.24,0.341,0.385,0.726,67.0,0.58,0.19332161687170474,0.022847100175746926,0.2038664323374341,0.2814207650273224,0.2446149068322981,0.0357671396172173,98.11339918238835,-0.12902644387242623,0.29276622920335077,0.042730029510946343,96.12473603704203,-0.2655150091371214,0.7162298136645961,0.09940235462799693,101.3641133263379,0.0982892847153143,76.5776397515528,36.73428911649727,151.48024981750345,1.0731760759933346,39.3416149068323,22.267719233809654,170.30312598673825,1.2420843285635317
640492,Jose Azocar,3.0,40.0,36.0,17.0,6.0,3.0,0.0,33.0,10.0,0.0,38.0,0.0,145.0,5.0,4.0,4.0,157.0,50.0,73.0,1.0,1.0,0.0,0.262,0.308,0.345,0.653,8.0,1.11,0.21019108280254778,0.0,0.24203821656050956,0.336283185840708,0.2446149068322981,0.0357671396172173,107.10712744077395,0.4860632791371776,0.29276622920335077,0.042730029510946343,114.86406296100876,1.018416255158665,0.7162298136645961,0.09940235462799693,91.17185399738106,-0.6360997574074295,76.5776397515528,36.73428911649727,49.622840457458025,-1.0501806535362537,39.3416149068323,22.267719233809654,20.334701610356802,-1.4074910222168382
605137,Josh Bell,13.0,36.0,21.0,16.0,4.0,0.0,2.0,23.0,18.0,0.0,17.0,0.0,97.0,0.0,0.0,0.0,116.0,27.0,54.0,0.0,0.0,1.0,0.175,0.304,0.278,0.582,9.0,1.71,0.19827586206896552,0.017241379310344827,0.14655172413793102,0.20833333333333334,0.2446149068322981,0.0357671396172173,71.54102023715816,-1.9463369891280726,0.29276622920335077,0.042730029510946343,71.16030216334423,-1.9759615623103624,0.7162298136645961,0.09940235462799693,81.25883465003947,-1.3503685518007842,76.5776397515528,36.73428911649727,22.199691783599643,-1.621853619178835,39.3416149068323,22.267719233809654,22.876539311651406,-1.3625829654239505
665742,Juan Soto,1.0,25.0,25.0,19.0,3.0,1.0,3.0,13.0,24.0,0.0,21.0,0.0,84.0,0.0,0.0,1.0,109.0,35.0,36.0,0.0,0.0,1.0,0.25,0.417,0.417,0.834,6.0,1.00,0.11926605504587157,0.027522935779816515,0.1926605504587156,0.2647058823529412,0.2446149068322981,0.0357671396172173,102.20145748165453,0.1505597938592119,0.29276622920335077,0.042730029510946343,90.41544274871973,-0.6566891521388077,0.7162298136645961,0.09940235462799693,116.4430723335617,1.1847826621023878,76.5776397515528,36.73428911649727,27.423148673858382,-1.51296353048501,39.3416149068323,22.267719233809654,15.251026207767604,-1.4973071358026133
595777,Jurickson Profar,5.0,132.0,143.0,71.0,29.0,2.0,13.0,85.0,67.0,0.0,114.0,4.0,470.0,1.0,5.0,10.0,545.0,186.0,184.0,2.0,2.0,0.0,0.243,0.341,0.396,0.737,51.0,0.92,0.1559633027522936,0.023853211009174313,0.20917431192660552,0.2700534759358289,0.2446149068322981,0.0357671396172173,99.3398166721682,-0.04515057255293481,0.29276622920335077,0.042730029510946343,92.24201734970396,-0.5315407812134424,0.7162298136645961,0.09940235462799693,102.8999332252218,0.2089506472269608,76.5776397515528,36.73428911649727,148.86852137237406,1.0187310316464222,39.3416149068323,22.267719233809654,129.63372276602462,0.5235554198773297
671277,Luis Garcia,59.0,76.0,51.0,20.0,14.0,2.0,5.0,56.0,5.0,0.0,73.0,1.0,252.0,4.0,2.0,3.0,262.0,106.0,110.0,1.0,3.0,0.0,0.29,0.303,0.421,0.724,28.0,1.49,0.21374045801526717,0.019083969465648856,0.2786259541984733,0.35051546391752575,0.2446149068322981,0.0357671396172173,118.55369067871926,1.2689047447857629,0.29276622920335077,0.042730029510946343,119.72537436142039,1.3514906349264537,0.7162298136645961,0.09940235462799693,101.08487334472265,0.07816903698592402,76.5776397515528,36.73428911649727,95.328088247222,-0.09739237746528451,39.3416149068323,22.267719233809654,71.17145563624881,-0.5093298863590857
