,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
518934,DJ LeMahieu,7,161,100,74,18,0,12,70,65,0,118,4,.265,446,.362,.386,.748,3,4,.571,10,2080,518,172,46,144,1,2,.290,1.61,0,37.17,7,0,0,0,0,.000,0.00,-.--,0.0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593334,Domingo German,9,48,62,19,12,0,6,32,11,0,44,4,.237,186,.294,.398,.692,0,0,.---,6,726,,74,,,0,0,,0.77,0,,9,0,1,1,2,.500,0.11,0.18,49.0,9,0,0,1,3.12,49.0,2,3,0,0,0,0,17,1.12,201,147,9,0,0,488,.670,4,1,0,0,.400,14.82,0,2.91,5.88,2.02,8.08,3.49,1.10,0,0,,
664314,Estevan Florial,1,5,6,1,0,0,0,8,1,0,1,1,.050,20,.136,.050,.186,0,1,1.000,0,88,22,1,1,13,0,0,.083,0.83,0,-.--,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593423,Frankie Montas,5,33,21,20,8,0,5,20,7,0,32,4,.311,103,.371,.534,.905,0,0,.---,3,417,,55,,,1,2,,1.57,1,,5,1,6,1,8,.875,1.40,2.52,25.2,5,0,0,0,7.01,25.2,0,2,0,0,0,0,20,1.52,118,77,5,0,0,269,.650,4,0,2,0,.000,16.25,0,2.86,7.01,2.45,11.22,7.01,1.75,0,0,,
543037,Gerrit Cole,27,141,137,62,25,1,23,204,40,0,127,2,.209,608,.260,.367,.627,3,7,.700,10,2666,,223,,,0,1,,1.03,1,,27,16,9,0,25,1.000,0.93,1.37,164.2,27,0,0,0,3.28,164.2,10,7,0,0,0,0,60,1.01,652,494,27,0,0,1765,.660,2,1,2,0,.588,16.19,0,5.10,11.15,2.19,6.94,3.39,1.26,0,0,,
519317,Giancarlo Stanton,45,81,69,40,6,0,24,102,40,2,70,0,.219,319,.304,.464,.768,0,0,.---,7,1466,363,148,64,154,0,3,.235,1.17,1,13.29,45,0,0,0,0,.000,0.00,-.--,0.0,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650402,Gleyber Torres,9,90,138,57,22,1,18,107,28,1,105,3,.240,437,.289,.419,.708,4,6,.600,10,1826,471,183,51,223,1,2,.277,0.65,0,24.28,9,0,0,0,0,.000,0.00,-.--,0.0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669711,Greg Weissert,4,4,5,6,1,0,0,7,2,0,3,2,.158,19,.304,.211,.515,0,1,1.000,0,91,,4,,,0,0,,0.80,0,,0,0,0,1,1,.000,0.00,0.00,5.1,4,0,0,1,10.13,5.1,1,0,0,0,0,0,6,0.94,23,16,4,0,0,58,.640,2,1,0,0,1.000,17.06,0,3.50,11.81,3.38,5.06,10.13,0.00,1,0,,
643396,Isiah Kiner-Falefa,118,137,102,54,19,0,1,62,25,2,104,5,.261,398,.309,.317,.626,4,15,.789,13,1597,435,126,38,153,2,5,.303,1.34,0,398.00,112,287,125,12,424,.972,3.49,3.68,1007.2,118,42,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592791,Jameson Taillon,26,149,149,63,34,3,22,117,24,0,134,4,.247,543,.282,.442,.724,2,4,.667,7,2237,,240,,,2,4,,1.00,1,,26,17,7,1,25,.960,0.92,1.54,140.2,26,2,0,1,3.97,140.2,12,4,0,0,0,0,62,1.12,578,422,26,0,0,1461,.650,4,0,3,0,.750,15.90,0,4.88,7.49,1.54,8.57,4.03,1.41,0,0,,
642528,Jonathan Loaisiga,38,42,27,20,1,0,3,29,15,1,30,0,.234,128,.315,.313,.628,0,1,1.000,5,534,0,40,0,0,0,0,.---,1.56,0,-.--,0,7,2,0,9,1.000,0.24,2.38,34.0,38,0,0,0,5.03,34.0,1,3,1,2,8,1,19,1.32,143,102,38,0,0,350,.660,0,0,0,0,.250,15.71,6,1.93,7.68,3.97,7.94,5.29,0.79,19,5,,
624431,Jose Trevino,95,75,85,37,10,1,10,48,13,0,73,2,.261,280,.297,.411,.708,13,22,.629,3,1052,296,115,37,111,0,1,.283,0.88,4,28.00,76,29,690,5,724,.993,7.57,9.27,698.2,95,1,0,1,,,,,,,,,,,,,,,,,,,,21,3,,,,,,,,,,,,2,3.14
