,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
665926,Andres Gimenez,18,85,96,49,21,2,15,85,23,1,112,16,371,2,15,5,417.0,182,144.0,4,3,0,0.302,0.366,0.491,0.857,60.0,0.89,0.2038369304556355,0.03597122302158273,0.354014598540146,122.48415716096326,119.93585694154234
595978,Austin Hedges,79,58,75,21,3,0,6,57,20,0,40,5,221,11,39,6,255.0,61,102.0,7,2,0,0.181,0.262,0.276,0.538,23.0,0.77,0.2235294117647059,0.023529411764705882,0.2125,73.40937896070977,75.29228825501725
608070,Jose Ramirez,22,94,189,71,38,4,26,54,50,9,132,4,463,6,14,4,523.0,256,186.0,0,6,0,0.285,0.356,0.553,0.909,106.0,0.5,0.10325047801147227,0.0497131931166348,0.27249357326478146,115.58935361216732,127.21317848291949
647304,Josh Naylor,20,107,85,34,18,0,15,56,25,2,88,3,331,0,5,10,364.0,151,142.0,0,5,0,0.266,0.319,0.456,0.775,59.0,1.26,0.15384615384615385,0.04120879120879121,0.27547169811320754,107.88339670468949,108.46008066475534
571912,Luke Maile,56,24,41,17,10,0,2,40,18,0,32,1,135,10,21,2,156.0,48,59.0,0,2,0,0.237,0.327,0.356,0.683,14.0,0.59,0.2564102564102564,0.01282051282051282,0.3157894736842105,96.12167300380229,95.58481947616502
664702,Myles Straw,118,138,137,57,18,2,0,69,44,0,85,1,425,1,15,4,474.0,107,187.0,1,3,0,0.2,0.275,0.252,0.527,23.0,1.01,0.14556962025316456,0.0,0.23676880222841226,81.1153358681876,73.75285485203364
660757,Oscar Gonzalez,4,59,42,19,20,0,5,48,8,1,61,1,209,0,1,3,219.0,96,88.0,0,1,0,0.292,0.32,0.459,0.779,23.0,1.4,0.2191780821917808,0.0228310502283105,0.35668789808917195,118.42839036755389,109.01987462947665
680911,Owen Miller,17,101,100,46,24,1,5,78,25,1,85,7,355,0,1,7,396.0,126,154.0,0,9,0,0.239,0.295,0.355,0.65,44.0,1.01,0.19696969696969696,0.012626262626262626,0.2846975088967972,96.93282636248416,90.96651926721415
680700,Richie Palacios,7,28,26,6,5,0,0,18,7,0,22,1,93,0,1,0,102.0,27,47.0,0,1,0,0.237,0.294,0.29,0.584,10.0,1.08,0.17647058823529413,0.0,0.2894736842105263,96.12167300380229,81.7299188493124
680757,Steven Kwan,20,113,138,67,20,5,3,45,47,1,125,5,416,4,12,7,473.0,164,163.0,1,4,0,0.3,0.375,0.394,0.769,35.0,0.82,0.09513742071881606,0.006342494714587738,0.3279569892473118,121.67300380228139,107.62038971767336
621043,Carlos Correa,1,97,96,52,15,1,15,89,47,2,105,2,383,0,0,14,436.0,167,156.0,0,4,0,0.274,0.353,0.436,0.789,43.0,1.01,0.20412844036697247,0.034403669724770644,0.31802120141342755,111.128010139417,110.41935954127995
596142,Gary Sanchez,26,73,80,33,20,0,12,97,27,0,68,4,316,11,24,8,349.0,124,134.0,0,2,1,0.215,0.284,0.392,0.676,44.0,0.91,0.27793696275071633,0.034383954154727794,0.2679425837320574,87.19898605830167,94.60518003790273
665482,Gilberto Celestino,8,67,38,22,8,1,2,52,17,0,53,2,208,1,0,10,229.0,69,100.0,2,0,0,0.255,0.317,0.332,0.649,17.0,1.76,0.22707423580786026,0.008733624454148471,0.33116883116883117,103.42205323193919,90.82657077603382
570482,Gio Urshela,1,96,112,43,19,3,11,68,25,1,98,0,368,0,0,17,399.0,156,180.0,0,6,0,0.266,0.308,0.424,0.732,49.0,0.86,0.17042606516290726,0.02756892230576441,0.29491525423728815,107.88339670468949,102.44229554400117
593871,Jorge Polanco,5,70,126,54,16,0,16,95,64,1,88,2,375,3,3,4,445.0,152,175.0,0,4,0,0.235,0.346,0.405,0.751,56.0,0.56,0.21348314606741572,0.035955056179775284,0.26865671641791045,95.31051964512042,105.10131687642743
669304,Jose Miranda,12,70,86,31,15,0,13,70,14,0,84,6,309,1,1,8,330.0,138,152.0,0,1,0,0.272,0.315,0.447,0.762,55.0,0.81,0.21212121212121213,0.03939393939393939,0.31277533039647576,110.31685678073512,106.64075027941105
664247,Kyle Garlick,7,24,27,21,3,0,9,29,8,0,30,3,109,0,0,2,121.0,60,53.0,0,1,0,0.275,0.339,0.55,0.889,18.0,0.89,0.2396694214876033,0.0743801652892562,0.2916666666666667,111.53358681875795,124.41420865931289
650333,Luis Arraez,22,131,124,70,23,1,7,35,45,2,135,2,423,3,4,4,472.0,181,125.0,0,2,0,0.319,0.386,0.428,0.814,41.0,1.06,0.07415254237288135,0.014830508474576272,0.3342036553524804,129.3789607097592,113.91807182078817
596146,Max Kepler,2,111,104,47,16,1,9,61,47,1,81,5,353,2,3,7,409.0,126,177.0,0,4,0,0.229,0.325,0.357,0.682,42.0,1.07,0.1491442542787286,0.022004889975550123,0.2508710801393728,92.87705956907479,95.4448709849847
572041,AJ Pollock,14,103,104,43,21,1,8,77,24,0,87,2,368,1,1,10,397.0,134,184.0,0,3,0,0.236,0.285,0.364,0.649,41.0,0.99,0.19395465994962216,0.020151133501259445,0.2762237762237762,95.71609632446135,90.82657077603382
641553,Adam Engel,2,40,56,29,12,1,2,63,11,1,47,3,206,2,11,2,220.0,67,93.0,0,0,0,0.228,0.277,0.325,0.602,14.0,0.71,0.2863636363636364,0.00909090909090909,0.3191489361702128,92.47148288973386,84.24899169055833
683734,Andrew Vaughn,29,115,101,50,23,1,14,70,24,0,116,8,398,0,0,11,434.0,183,144.0,0,4,0,0.291,0.341,0.46,0.801,61.0,1.14,0.16129032258064516,0.03225806451612903,0.32075471698113206,118.02281368821295,112.0987414354439
650391,Eloy Jimenez,21,48,38,20,6,0,7,42,19,0,54,2,180,0,0,2,203.0,81,59.0,0,2,0,0.3,0.369,0.45,0.819,28.0,1.26,0.20689655172413793,0.034482758620689655,0.3533834586466165,121.67300380228139,114.61781427668983
657757,Gavin Sheets,15,59,92,22,17,0,10,61,17,0,73,3,284,0,0,7,305.0,120,139.0,0,1,0,0.257,0.305,0.423,0.728,36.0,0.64,0.2,0.03278688524590164,0.29439252336448596,104.23320659062105,101.88250157927985
547989,Jose Abreu,25,130,116,69,29,0,14,88,54,2,147,7,478,0,0,13,542.0,218,218.0,0,3,0,0.308,0.384,0.456,0.84,60.0,1.12,0.16236162361623616,0.025830258302583026,0.35092348284960423,124.9176172370089,117.55673259147675
544725,Leury Garcia,3,93,72,35,8,0,3,59,7,0,58,3,277,0,1,6,292.0,75,116.0,2,3,0,0.209,0.234,0.271,0.505,19.0,1.29,0.20205479452054795,0.010273972602739725,0.25229357798165136,84.76552598225602,70.67398804606638
673357,Luis Robert,4,92,90,54,18,0,12,69,17,1,107,3,357,3,11,6,378.0,161,154.0,0,1,0,0.3,0.336,0.451,0.787,56.0,1.02,0.18253968253968253,0.031746031746031744,0.34296028880866425,121.67300380228139,110.13946255891929
664874,Seby Zavala,1,19,36,16,11,0,2,51,15,0,41,1,143,5,18,1,163.0,58,76.0,2,2,0,0.287,0.354,0.406,0.76,18.0,0.53,0.3128834355828221,0.012269938650306749,0.42391304347826086,116.40050697084918,106.36085329705038
