,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
516416,Jean Segura,64.0,77.0,56.0,32.0,6.0,0.0,8.0,37.0,17.0,1.0,68.0,5.0,237.0,2.0,12.0,9.0,260.0,98.0,87.0,0.0,1.0,0.0,0.287,0.346,0.414,0.76,22.0,1.38,0.1423076923076923,0.03076923076923077,0.31088082901554404,116.72012830793905,105.2775338991318
656941,Kyle Schwarber,15.0,87.0,109.0,79.0,18.0,1.0,35.0,160.0,64.0,3.0,96.0,3.0,450.0,1.0,6.0,9.0,519.0,221.0,157.0,0.0,2.0,0.0,0.213,0.314,0.491,0.805,73.0,0.8,0.30828516377649323,0.0674373795761079,0.23735408560311283,86.62504296024746,111.51107209052778
663837,Matt Vierling,1.0,58.0,70.0,30.0,7.0,1.0,5.0,57.0,20.0,0.0,52.0,2.0,233.0,4.0,6.0,7.0,259.0,76.0,111.0,0.0,4.0,0.0,0.223,0.286,0.326,0.612,20.0,0.83,0.22007722007722008,0.019305019305019305,0.26857142857142857,90.69194638561119,84.77611940298509
592206,Nick Castellanos,12.0,116.0,125.0,53.0,27.0,0.0,13.0,122.0,27.0,0.0,132.0,3.0,493.0,1.0,7.0,15.0,525.0,198.0,202.0,0.0,2.0,0.0,0.268,0.309,0.402,0.711,61.0,0.93,0.23238095238095238,0.024761904761904763,0.33055555555555555,108.99301179974799,98.4899034240562
656555,Rhys Hoskins,4.0,94.0,130.0,67.0,23.0,2.0,26.0,131.0,62.0,0.0,116.0,5.0,469.0,1.0,2.0,7.0,539.0,221.0,160.0,0.0,2.0,1.0,0.247,0.34,0.471,0.811,65.0,0.72,0.24304267161410018,0.04823747680890538,0.28662420382165604,100.45251460648414,112.34221051604723
605119,Brian Anderson,2.0,57.0,38.0,30.0,13.0,1.0,5.0,75.0,29.0,2.0,54.0,3.0,224.0,0.0,1.0,4.0,256.0,84.0,95.0,0.0,0.0,0.0,0.241,0.336,0.375,0.711,17.0,1.5,0.29296875,0.01953125,0.3402777777777778,98.0123725512659,98.4899034240562
643265,Garrett Cooper,40.0,83.0,69.0,28.0,24.0,1.0,7.0,96.0,32.0,0.0,87.0,8.0,330.0,0.0,0.0,4.0,375.0,134.0,110.0,0.0,5.0,0.0,0.264,0.339,0.406,0.745,42.0,1.2,0.256,0.018666666666666668,0.3448275862068966,107.36625042960249,103.19968783533315
668709,JJ Bleday,2.0,18.0,32.0,12.0,7.0,1.0,4.0,35.0,16.0,0.0,21.0,1.0,106.0,0.0,3.0,2.0,123.0,42.0,41.0,0.0,0.0,0.0,0.198,0.309,0.396,0.705,7.0,0.56,0.2845528455284553,0.032520325203252036,0.2537313432835821,80.52468782220187,97.65876499853672
607732,Jacob Stallings,1.0,77.0,76.0,23.0,11.0,0.0,3.0,68.0,22.0,0.0,63.0,4.0,282.0,9.0,50.0,13.0,310.0,83.0,123.0,1.0,1.0,0.0,0.223,0.288,0.294,0.582,29.0,1.01,0.21935483870967742,0.00967741935483871,0.2830188679245283,90.69194638561119,80.62042727538777
621563,Joey Wendle,1.0,97.0,67.0,19.0,17.0,1.0,2.0,36.0,12.0,0.0,67.0,5.0,264.0,2.0,10.0,3.0,284.0,92.0,83.0,0.0,3.0,0.0,0.254,0.296,0.348,0.644,27.0,1.45,0.1267605633802817,0.007042253521126761,0.2838427947598253,103.29934700423875,89.20885767242221
