,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
493329,Yuli Gurriel,141,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,141,192,52,39,0,8,72,29,0,127,6,.240,529,.286,.359,.645,0,8,1.000,13,2062,567,190,53,255,0,3,.263,0.73,0,66.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676265,,15,8,1,2,0,3,1.000,0.20,0.61,44.0,15,0,0,0,26,65,26,10,0,11,39,21,0,39,4,.232,168,.330,.488,.818,1,4,.800,0,757,,82,,,0,1,,0.40,0,,5.11,44.0,0,4,0,0,0,0,25,1.36,194,132,15,0,0,474,.630,4,0,1,0,.000,17.20,7,1.86,7.98,4.30,7.98,5.32,2.25,2,0,,
647351,Abraham Toro,104,18,0,0,0,0,.000,0.00,-.--,0.0,22,0,0,0,87,108,34,13,1,9,58,22,1,56,1,.183,306,.238,.320,.558,0,2,1.000,4,1261,332,98,30,122,0,3,.194,0.81,0,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624428,Adam Frazier,151,7,0,0,0,0,.000,0.00,-.--,0.0,8,0,0,0,159,181,59,21,4,3,69,46,1,123,5,.235,523,.301,.308,.609,6,9,.600,15,2127,583,161,40,212,4,5,.263,0.88,0,174.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662253,Andres Munoz,63,0,4,3,0,7,1.000,0.11,0.98,64.0,63,0,0,0,48,41,20,4,0,5,94,15,3,43,4,.192,224,.253,.277,.530,1,5,.833,5,1010,,62,,,0,2,,1.17,0,,2.53,64.0,2,5,4,8,22,4,18,0.91,245,192,63,0,0,693,.690,4,0,4,0,.286,15.78,12,6.27,13.22,2.11,6.05,2.81,0.70,25,4,,
663728,Cal Raleigh,117,98,27,899,6,932,.994,8.12,9.18,908.0,114,3,0,4,58,116,45,20,1,26,117,38,0,75,2,.208,361,.283,.485,.768,0,1,1.000,5,1599,406,175,62,168,0,5,.220,0.50,0,13.88,,,,,,,,,,,,,,,,,,,,22,1,,,,,,,,,,,,3,3.29
467793,Carlos Santana,74,36,0,0,0,0,.000,0.00,-.--,0.0,38,0,0,0,61,81,31,8,0,15,56,33,1,42,2,.176,238,.280,.399,.679,0,0,.---,8,1122,275,95,37,107,0,2,.160,0.75,0,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623167,Chris Flexen,32,21,9,6,1,16,.938,0.47,1.02,133.2,32,1,0,1,113,187,58,25,3,16,93,50,3,127,2,.248,512,.315,.402,.717,0,6,1.000,6,2133,,206,,,3,5,,0.60,0,,3.64,133.2,8,9,2,2,0,0,54,1.32,572,401,32,0,0,1316,.620,2,0,6,0,.471,15.96,11,1.86,6.26,3.37,8.55,3.91,1.08,0,0,,
660636,Diego Castillo,2,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,3,1,8,0,0,1,1,3,0,6,1,.545,11,.667,.818,1.485,0,0,.---,1,60,271,9,28,94,0,0,.229,3.00,0,22.73,36.00,2.0,0,0,0,0,0,0,8,4.50,15,6,2,0,0,26,.430,1,0,0,0,.---,30.00,2,0.33,4.50,13.50,27.00,36.00,4.50,0,0,,
664238,Dylan Moore,100,0,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,28,53,38,10,2,6,74,33,2,43,11,.219,196,.361,.383,.744,7,21,.750,3,1086,243,75,21,104,1,1,.316,0.53,1,32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657024,Erik Swanson,55,1,4,3,0,7,1.000,0.13,1.26,50.2,55,0,0,0,30,52,11,8,0,3,66,10,1,38,1,.207,184,.251,.299,.550,1,3,.750,1,842,,55,,,2,0,,0.58,0,,1.78,50.2,2,2,3,5,14,2,10,0.95,197,152,55,0,0,576,.680,1,0,1,1,.500,16.62,8,6.60,11.72,1.78,6.75,1.95,0.53,12,4,,
553993,Eugenio Suarez,18,17,0,0,0,0,.000,0.00,-.--,0.0,18,0,0,0,83,133,73,24,2,31,189,73,0,125,8,.238,526,.337,.468,.805,0,0,.---,11,2547,611,246,85,215,0,4,.303,0.62,0,16.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669923,George Kirby,24,24,10,7,0,17,1.000,0.71,1.21,126.0,24,1,0,0,107,134,50,23,2,12,128,19,0,129,5,.261,494,.294,.389,.683,4,9,.692,9,1999,,192,,,1,3,,0.80,0,,3.21,126.0,8,4,0,0,0,0,45,1.17,522,378,24,0,0,1374,.690,5,0,4,1,.667,15.87,0,6.74,9.14,1.36,9.21,3.57,0.86,0,0,,
641487,J.P. Crawford,141,140,321,161,13,495,.974,3.42,3.54,1226.0,141,69,0,6,156,158,56,24,3,6,76,65,0,125,9,.246,508,.339,.341,.680,2,3,.600,11,2418,589,173,42,201,2,5,.276,0.99,0,84.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672284,Jarred Kelenic,2,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,28,40,20,5,1,7,54,12,0,22,0,.154,143,.218,.350,.568,2,5,.714,3,592,156,50,17,65,0,1,.181,0.70,0,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
